Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-8,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.00001,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,7.51
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-9,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.00335,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.47
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-10,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.00001,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.04
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-11,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.00335,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.46
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-12,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.00001,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.38
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-13,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.00335,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.4
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-14,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.00001,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.76
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-15,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.00335,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.42
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-16,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.00001,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.84
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylperfluorodecyl phosphinic acid,C8/C10 PFPiA,500776-81-17,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.00335,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.74
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-2,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.0000335,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.69
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-3,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.00445,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.39
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-4,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.0000335,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,6.91
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-5,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.00445,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.96
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-6,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.0000335,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,6.45
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-7,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.00445,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.17
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-8,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.0000335,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,6.9
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-9,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.00445,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.26
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-10,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.0000335,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,7
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorododecyl phosphinic acid,C6/C12 PFPiA,1240600-41-11,C(C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.00445,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.61
Hoke et al. (2015),http://dx.doi.org/10.1016/j.chemosphere.2015.01.033,K-6:2 fluorotelomer sulfonate,K-6:2 FTSA,59587-38-1,C(CS(=O)(=O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[K+],Oncorhynchus mykiss,both,whole body,1.08,56,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342422681
Hoke et al. (2015),http://dx.doi.org/10.1016/j.chemosphere.2015.01.033,K-6:2 fluorotelomer sulfonate,K-6:2 FTSA,59587-38-1,C(CS(=O)(=O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[K+],Oncorhynchus mykiss,both,whole body,9.32,56,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602059991
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,47.6,28,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491361694
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,4.1,28,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707570176
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.946,60,66,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.361727836
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.0911,60,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.568201724
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.978,60,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.204119983
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.0978,60,47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorotetradecanoic acid,PFTA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.89,60,29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.204119983
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorotetradecanoic acid,PFTA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.0893,60,29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.230448921
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorohexadecanoic acid,PFHxDA,67905-19-5,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.998,60,77,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681241237
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorohexadecanoic acid,PFHxDA,67905-19-5,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.1,60,77,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.672097858
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctadecanoic acid,PFODA,16517-11-6,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.967,60,24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633468456
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctadecanoic acid,PFODA,16517-11-6,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,0.0974,60,24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505149978
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,16,58,37,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857332496
Inoue et al. (2012),http://dx.doi.org/10.1007/s00244-011-9730-7,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,1.88,58,37,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.113943352
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,whole body,1.5,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,0.602059991
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,blood,1.5,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,1.431363764
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,liver,1.5,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,0.903089987
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorodecanoic acid,PFDA,335-76-2,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,whole body,0.71,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,2.653212514
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorodecanoic acid,PFDA,335-76-2,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,blood,0.71,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.431363764
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorodecanoic acid,PFDA,335-76-2,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,liver,0.71,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.041392685
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,whole body,0.48,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.431363764
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,blood,0.48,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.041392685
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,liver,0.48,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.69019608
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,whole body,0.2,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.255272505
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,blood,0.2,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.602059991
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,liver,0.2,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.255272505
